Date,Company,Type,Jobs Affected,City,Location
10/27/2018,Heartland Foods,Layoff,4,Beatrice,Beatrice
10/2/2018,Crafts Inc.,Layoff,3,Norfolk,Norfolk
10/1/2018,Jason Sears Flooring,Closure,3,O'Neill,O'Neill
9/30/2018,Big Top Party Shop,Closure,5,Norfolk,Norfolk
9/28/2018,Family 4Ward,Layoff,5,Scottsbluff,Scottsbluff
9/27/2018,Gamers,Closure,,Lincoln,Lincoln
9/27/2018,Gamers,Closure,,Omaha,Omaha
9/27/2018,Gamers,Closure,,La Vista,La Vista
9/18/2018,Poling Drug,Layoff,4,Beatrice,Beatrice
9/15/2018,Allen's Superstore,Closure,33,Hastings,Hastings
8/31/2018,Herbergers,Closure,80,Kearney,Kearney
8/31/2018,Save Best Store,Closure,8,Lincoln,Lincoln
8/31/2018,Herbergers,Closure,22,Norfolk,Norfolk
8/31/2018,Herbergers,Closure,47,North Platte,North Platte
8/31/2018,Herbergers,Closure,55,Scottsbluff,Scottsbluff
8/31/2018,Herbergers,Closure,13,Hastings,Hastings
8/31/2018,Younkers,Closure,90,Lincoln,Lincoln
8/31/2018,Younkers,Closure,141,Omaha,Omaha - Oakview Mall
8/31/2018,Younkers,Closure,80,Grand Island,Grand Island
8/31/2018,Younkers,Closure,190,Omaha,Omaha - Westroads Mall
8/29/2018,Nebraska Auto Auction,Closure,5,Lincoln,Lincoln
8/26/2018,Ruby Tuesday,Closure,45,Grand Island,Grand Island
8/20/2018,Pet Kingdom,Closure,,Kearney,Kearney
8/17/2018,Ariens,Closure,194,Auburn,Auburn
7/31/2018,Erbert & Gerbert's Sandwich Shop,Closure,7,Kearney,Kearney
7/29/2018,Lutheran Home,Closure,38,Omaha,Omaha
7/27/2018,Brightstar,Closure,53,Omaha,Omaha
7/20/2018,Staples,Closure,12,North Platte,North Platte
7/5/2018,Serendipity,Closure,1,Norfolk,Norfolk
7/2/2018,MB Financial Bank,Layoff,31,Omaha,Omaha
7/2/2018,Little Blessings,Closure,7,Lincoln,Lincoln
7/2/2018,Little Blessings,Closure,13,Omaha,Omaha
6/30/2018,Akin's Natural Foods,Closure,10,Lincoln,Lincoln
6/30/2018,Adams County Senior Services,Closure,9,Hastings,Hastings
6/30/2018,Randolph Car Wash,Closure,20,Lincoln,Lincoln
6/30/2018,Shopko Corporate Office,Closure,12,Crete,Crete
6/30/2018,Joseph's College,Closure,2,North Platte,North Platte
6/30/2018,Building Healthy Futures,Closure,5,Omaha,Omaha
6/30/2018,Shopko xxxx,Closure,12,Crete,Crete
6/29/2018,Maximus,Closure,41,Omaha,Omaha
6/27/2018,Toys-R-Us,Closure,30,Lincoln,Lincoln
6/27/2018,Toys-R-Us,Closure,30,Omaha,Omaha
6/27/2018,Toys-R-Us,Closure,30,Lincoln,Lincoln
6/27/2018,Toys-R-Us,Closure,30,Omaha,Omaha - Oakview Mall
6/24/2018,Lyons Living Center,Closure,30,Lyons,Lyons
6/22/2018,PureRed Integrated Marketing,Closure,19,Norfolk,Norfolk
6/21/2018,Center for People in Need,Layoff,3,Lincoln,Lincoln
6/15/2018,Farner Company,Closure,17,Norfolk,Norfolk
6/15/2018,Good Samaritan Assisted Living,Closure,7,Scribner,Scribner
6/14/2018,Applebee's,Closure,5,Hastings,Hastings
5/31/2018,The Minuteman Hotel,Layoff,4,Lexington,Lexington
5/31/2018,Roadrunner Temperature Controlled,Layoff,28,Omaha,Omaha
5/31/2018,Grace University,Closure,135,Omaha,Omaha
5/31/2018,Convergys Corporation,Closure,123,Omaha,Omaha
5/16/2018,Wells Fargo,Closure,18,Grand Island,Grand Island
5/10/2018,Cenveo Corporation,Layoff,52,Omaha,Omaha
5/4/2018,Streck,Layoff,9,La Vista,La Vista
5/4/2018,Runza,Closure,19,Lincoln,Lincoln
5/1/2018,Maaschhoff's,Layoff,9,Wolbach,Wolbach
5/1/2018,Liberty Cleaners,Closure,3,Hastings,Hastings
5/1/2018,Liberty Cleaners,Closure,3,North Platte,North Platte
5/1/2018,Liberty/Deluxe Cleaners,Closure,3,York,York
5/1/2018,Perkins Restaurant & Bakery,Closure,15,Lincoln,Lincoln - N 48th
4/29/2018,Kearney County Health Services,Closure,55,Minden,Minden
4/26/2018,Charter Spectrum,Layoff,55,Lincoln,Lincoln
4/20/2018,Nebraska Transport Company,Layoff,8,Gering,Gering
4/6/2018,C & C Specialty Market,Closure,3,Beatrice,Beatrice
4/4/2018,PCT Livestock,Closure,2,St. Libory,St. Libory
4/3/2018,Direct Check,Closure,1,McCook,McCook
4/2/2018,Eagle Distributing,Layoff,2,Norfolk,Norfolk
4/2/2018,Election Systems & Software,Layoff,1,Omaha,Omaha
4/2/2018,Corelink Administrative Solutions,Layoff,14,Fargo,HQ
4/1/2018,Great Plains Health,Layoff,7,North Platte,North Platte
3/31/2018,Defy Gravity Trampoline Park,Closure,,La Vista,La Vista
3/29/2018,Nifast,Closure,4,Beatrice,Beatrice
3/28/2018,Justice,Closure,2,Norfolk,Norfolk
3/28/2018,Wells Fargo,Closure,6,McCook,McCook
3/25/2018,Claire's,Closure,,North Platte,North Platte
3/18/2018,Tanner's Bar and Grill,Closure,10,Lincoln,Lincoln
3/16/2018,Methodist Hospital Hospice,Closure,60,Omaha,Omaha
3/12/2018,Three Eighteen on the Avenue,Closure,3,Norfolk,Norfolk
3/7/2018,Tidal Gas Station,Closure,4,North Platte,North Platte
2/28/2018,Schwartz Enterprises of NE,Closure,16,Chappell,Chappell
2/27/2018,Heartland Motors,Closure,2,Beatrice,Beatrice
2/26/2018,Hickory Road BBQ,Closure,10,Lincoln,Lincoln
2/25/2018,Taco Bell,Closure,18,North Platte,North Platte
2/20/2018,Omaha World Herald,Layoff,24,Bellevue,Bellevue
2/15/2018,Chocolatier Blue,Closure,1,Lincoln,Lincoln
