Company,City,Affected Workers,Notice Date,Notice Type,Layoff Begin Date,NAICS Description,County,Workforce Development Area
Catering A Fresco,Madison,68,3/26/2020,CL,3/17/2020,Caterers,Dane,South Central
Tex Tubb's Taco Place,Madison,43,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Johnny Delomonico's,Madison,34,3/26/2020,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Discovery Culinary Collaborative LLC,Madison,55,3/26/2020,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Avenue Club,Madison,49,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Eldorado Grill,Madison,47,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Luigi's Pizzeria,Madison,34,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
DLUX,Madison,49,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Canteen,Madison,42,3/26/2020,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Bar Corallini,Madison,27,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Monty's Blue Plate Diner,Madison,54,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Market Street Diner,Sun Prairie,45,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Craftsman Table and Tap,Middleton,49,3/26/2020,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Bassett Street Brunch Club,Madison,62,3/26/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Great Lakes Services LLC,Madison,24,3/27/2020,WR,4/3/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Great Lakes Services LLC,Madison,69,3/27/2020,WR,4/2/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
The Coopers Tavern,Madison,70,3/27/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Hubbard Avenue Diner,Middleton,65,3/27/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Cento Restaurant LLC,Madison,78,3/27/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Everly and Miko Poke,Madison,68,3/27/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Fresco Restaurant,Madison,43,3/27/2020,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Spectra Food Services and Hospitality,Green Bay,49,3/29/2020,CL,3/26/2020,Food Service Contractors,Brown,Bay Area
Paper Source,Brookfield,9,3/30/2020,WR,3/29/2020,Office Supplies & Stationery Stores,Waukesha,Waukesha-Ozaukee-Washington
Paper Source,Glendale,9,3/30/2020,WR,3/29/2020,Office Supplies & Stationery Stores,Milwaukee,Milwaukee
Paper Source,Madison,13,3/30/2020,WR,3/29/2020,Office Supplies & Stationery Stores,Dane,South Central
Great Lakes Services,Baraboo,247,3/30/2020,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Sauk,South Central
"Schulte Hospitality Group, Inc.",Milwaukee,30,3/30/2020,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Collegiate Hotel Group,Madison,63,3/30/2020,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
"Schwaab, Inc.",Brookfield,42,3/30/2020,WR,3/24/2020,Office Supplies (Exc Paper) Mfg,Waukesha,Waukesha-Ozaukee-Washington
Rexnord Industries LLC,Grafton,140,3/30/2020,WR,6/5/2020,Conveyor & Conveying Equip Mfg,Ozaukee,Waukesha-Ozaukee-Washington
"Stateline Boys and Girls Clubs, Inc",Beloit,28,3/30/2020,WR,3/30/2020,Civic & Social Organizations,Rock,Southwest
Reynolds Machine Company,New Berlin,36,3/30/2020,WR,3/24/2020,Motor Vehicle Power Train Components Mfg,Waukesha,Waukesha-Ozaukee-Washington
Data Dimensions  ,Janesville,260,3/30/2020,CL,5/29/2020,Description Data Processing Hosting & Related Services,Rock,Southwest
Stateline Family YMCA,Beloit,200,3/30/2020,WR,3/16/2020,Civic & Social Organizations,Rock,Southwest
"SSA Group, LLC  ",Milwaukee,319,3/30/2020,WR,3/29/2020,Limited-service restaurants,Milwaukee,Milwaukee
Delavan Lake Resort,Delavan,11,3/30/2020,CL,3/16/2020,All Other Traveler Accommodation,Walworth,Southeast
Lake Lawn Resort,Delevan,305,3/30/2020,CL,3/16/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
YMCA of the Northwoods,Rhinelander,109,3/31/2020,CL,3/17/2020,Civic & Social Organizations,Oneida,North Central
Cinemark USA Inc.,Kenosha,51,3/31/2020,CL,3/26/2020,Motion Picture Theaters exc Drive Ins,Kenosha,Southeast
California Pizza Kitchen,Glendale,36,3/31/2020,CL,3/22/2020,Full-service restaurants,Milwaukee,Milwaukee
FeraDyne Outdoors,Superior,226,3/31/2020,CL,3/25/2020,Sporting & Athletic Goods Mfg,Douglas,Northwest
Stevens Point YMCA,Stevens Point,324,3/31/2020,CL,3/18/2020,Civic & Social Organizations,Portage,North Central
US Bank,Milwaukee,62,2/3/2020,WR,4/6/2020,Commercial Banking,Milwaukee,Milwaukee
Compass Group,Neenah,30,2/3/2020,CL,3/31/2020,Janitorial Services,Winnebago,Fox Valley
"IDEXX Distribution, Inc.",Marshfield,38,2/14/2020,CL,5/1/2020,Veterinary Services,Wood,North Central
"IDEXX Distribution, Inc.",Waukesha,13,2/14/2020,CL,5/1/2020,Veterinary Services,Waukesha,WOW
